Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
265,249368;265,249369;0,000001;;0,000001;0;-0,000001
265,249369;265,249369;0,000000;;-0,000001;1E-06;0,000002
265,249369;265,249370;0,000001;;0,000000;1E-06;0,000001
265,249370;265,249371;0,000001;;-0,162244;0,162245;0,324489
265,249371;265,411616;0,162245;;0,107504;0,054741;-0,052763
265,411616;265,466357;0,054741;;0,001062;0,053679;0,052617
265,466357;265,520036;0,053679;;-0,056041;0,10972;0,165761
265,520036;265,629756;0,109720;;-0,017290;0,12701;0,144300
265,629756;265,756766;0,127010;;0,123050;0,00396;-0,119090
265,756766;265,760726;0,003960;;-0,129561;0,133521;0,263082
265,760726;265,894247;0,133521;;0,133438;8,3E-05;-0,133355
265,894247;265,894330;0,000083;;-3,847750;3,847833;7,695583
265,894330;269,742163;3,847833;;3,847756;7,7E-05;-3,847679
269,742163;269,742240;0,000077;;-0,000076;0,000153;0,000229
269,742240;269,742393;0,000153;;-0,297328;0,297481;0,594809
269,742393;270,039874;0,297481;;0,297385;9,6E-05;-0,297289
270,039874;270,039970;0,000096;;-2,905026;2,905122;5,810148
270,039970;272,945092;2,905122;;2,733249;0,171873;-2,561376
272,945092;273,116965;0,171873;;-8,246509;8,418382;16,664891
273,116965;281,535347;8,418382;;8,254662;0,16372;-8,090942
281,535347;281,699067;0,163720;;-2,164984;2,328704;4,493688
281,699067;284,027771;2,328704;;2,199253;0,129451;-2,069802
284,027771;284,157222;0,129451;;-15,757215;15,886666;31,643881
284,157222;300,043888;15,886666;;15,717382;0,169284;-15,548098
300,043888;300,213172;0,169284;;0,169225;5,9E-05;-0,169166
300,213172;300,213231;0,000059;;-4,438589;4,438648;8,877237
300,213231;304,651879;4,438648;;4,438548;1E-04;-4,438448
304,651879;304,651979;0,000100;;-0,128752;0,128852;0,257604
304,651979;304,780831;0,128852;;0,128794;5,8E-05;-0,128736
304,780831;304,780889;0,000058;;-0,004778;0,004836;0,009614
304,780889;304,785725;0,004836;;-0,182230;0,187066;0,369296
304,785725;304,972791;0,187066;;-1,972788;2,159854;4,132642
304,972791;307,132645;2,159854;;2,159823;3,1E-05;-2,159792
307,132645;307,132676;0,000031;;-0,079923;0,079954;0,159877
307,132676;307,212630;0,079954;;0,079789;0,000165;-0,079624
307,212630;307,212795;0,000165;;0,000138;2,7E-05;-0,000111
307,212795;307,212822;0,000027;;-0,000258;0,000285;0,000543
307,212822;307,213107;0,000285;;-0,119133;0,119418;0,238551
307,213107;307,332525;0,119418;;-10,676464;10,795882;21,472346
307,332525;318,128407;10,795882;;10,712053;0,083829;-10,628224
318,128407;318,212236;0,083829;;-11,457814;11,541643;22,999457
318,212236;329,753879;11,541643;;11,541561;8,2E-05;-11,541479
329,753879;329,753961;0,000082;;-0,000057;0,000139;0,000196
329,753961;329,754100;0,000139;;-0,115473;0,115612;0,231085
329,754100;329,869712;0,115612;;0,115562;5E-05;-0,115512
329,869712;329,869762;0,000050;;-11,929072;11,929122;23,858194
329,869762;341,798884;11,929122;;11,780983;0,148139;-11,632844
341,798884;341,947023;0,148139;;0,098557;0,049582;-0,048975
341,947023;341,996605;0,049582;;0,038643;0,010939;-0,027704
341,996605;342,007544;0,010939;;-0,129104;0,140043;0,269147
342,007544;342,147587;0,140043;;0,139977;6,6E-05;-0,139911
342,147587;342,147653;0,000066;;-0,000373;0,000439;0,000812
342,147653;342,148092;0,000439;;-0,129402;0,129841;0,259243
342,148092;342,277933;0,129841;;0,129787;5,4E-05;-0,129733
342,277933;342,277987;0,000054;;-0,000392;0,000446;0,000838
342,277987;342,278433;0,000446;;-0,079075;0,079521;0,158596
342,278433;342,357954;0,079521;;0,079414;0,000107;-0,079307
342,357954;342,358061;0,000107;;-0,000652;0,000759;0,001411
342,358061;342,358820;0,000759;;-0,017244;0,018003;0,035247
342,358820;342,376823;0,018003;;0,017884;0,000119;-0,017765
342,376823;342,376942;0,000119;;-0,000318;0,000437;0,000755
342,376942;342,377379;0,000437;;-0,169932;0,170369;0,340301
342,377379;342,547748;0,170369;;0,106937;0,063432;-0,043505
342,547748;342,611180;0,063432;;0,018354;0,045078;0,026724
342,611180;342,656258;0,045078;;0,044620;0,000458;-0,044162
342,656258;342,656716;0,000458;;-0,000008;0,000466;0,000474
342,656716;342,657182;0,000466;;0,000335;0,000131;-0,000204
342,657182;342,657313;0,000131;;0,000049;8,2E-05;0,000033
342,657313;342,657395;0,000082;;-0,000200;0,000282;0,000482
342,657395;342,657677;0,000282;;0,000193;8,9E-05;-0,000104
342,657677;342,657766;0,000089;;0,000025;6,4E-05;0,000039
342,657766;342,657830;0,000064;;-0,000012;7,6E-05;0,000088
342,657830;342,657906;0,000076;;-0,000016;9,2E-05;0,000108
342,657906;342,657998;0,000092;;0,000044;4,8E-05;0,000004
342,657998;342,658046;0,000048;;-0,034775;0,034823;0,069598
342,658046;342,692869;0,034823;;0,034765;5,8E-05;-0,034707
342,692869;342,692927;0,000058;;-0,038173;0,038231;0,076404
342,692927;342,731158;0,038231;;0,028067;0,010164;-0,017903
342,731158;342,741322;0,010164;;0,010086;7,8E-05;-0,010008
342,741322;342,741400;0,000078;;-0,002051;0,002129;0,004180
342,741400;342,743529;0,002129;;-0,144834;0,146963;0,291797
342,743529;342,890492;0,146963;;0,146035;0,000928;-0,145107
342,890492;342,891420;0,000928;;-0,103092;0,10402;0,207112
342,891420;342,995440;0,104020;;0,081284;0,022736;-0,058548
342,995440;343,018176;0,022736;;0,014936;0,0078;-0,007136
343,018176;343,025976;0,007800;;0,007714;8,6E-05;-0,007628
343,025976;343,026062;0,000086;;-0,000886;0,000972;0,001858
343,026062;343,027034;0,000972;;0,000906;6,6E-05;-0,000840
343,027034;343,027100;0,000066;;-0,009275;0,009341;0,018616
343,027100;343,036441;0,009341;;-0,005572;0,014913;0,020485
343,036441;343,051354;0,014913;;0,014860;5,3E-05;-0,014807
343,051354;343,051407;0,000053;;-0,008176;0,008229;0,016405
343,051407;343,059636;0,008229;;-0,125867;0,134096;0,259963
343,059636;343,193732;0,134096;;0,133909;0,000187;-0,133722
343,193732;343,193919;0,000187;;-0,001096;0,001283;0,002379
343,193919;343,195202;0,001283;;-0,034829;0,036112;0,070941
343,195202;343,231314;0,036112;;0,029724;0,006388;-0,023336
343,231314;343,237702;0,006388;;-0,031597;0,037985;0,069582
343,237702;343,275687;0,037985;;0,021804;0,016181;-0,005623
343,275687;343,291868;0,016181;;-0,119526;0,135707;0,255233
343,291868;343,427575;0,135707;;0,135680;2,7E-05;-0,135653
343,427575;343,427602;0,000027;;-0,144008;0,144035;0,288043
343,427602;343,571637;0,144035;;-16,152496;16,296531;32,449027
343,571637;359,868168;16,296531;;16,033003;0,263528;-15,769475
359,868168;360,131696;0,263528;;0,263430;9,8E-05;-0,263332
360,131696;360,131794;0,000098;;-1,124499;1,124597;2,249096
360,131794;361,256391;1,124597;;1,115268;0,009329;-1,105939
361,256391;361,265720;0,009329;;0,008973;0,000356;-0,008617
361,265720;361,266076;0,000356;;0,000261;9,5E-05;-0,000166
361,266076;361,266171;0,000095;;-0,039670;0,039765;0,079435
361,266171;361,305936;0,039765;;-0,024592;0,064357;0,088949
361,305936;361,370293;0,064357;;0,064296;6,1E-05;-0,064235
361,370293;361,370354;0,000061;;-0,276702;0,276763;0,553465
361,370354;361,647117;0,276763;;0,276676;8,7E-05;-0,276589
361,647117;361,647204;0,000087;;-0,005229;0,005316;0,010545
361,647204;361,652520;0,005316;;0,005239;7,7E-05;-0,005162
361,652520;361,652597;0,000077;;-0,142743;0,14282;0,285563
361,652597;361,795417;0,142820;;0,117260;0,02556;-0,091700
361,795417;361,820977;0,025560;;0,025496;6,4E-05;-0,025432
361,820977;361,821041;0,000064;;-0,094124;0,094188;0,188312
